run_date,track_id,frame_count,first_image_id,last_image_id,median_peak_snr,mean_step_px,motion_consistency,candidate_score,temporal_quality,quality_reason,candidate_ids
2001-01-13,T1405,3,N1358108118,N1358108796,11.56,21.25,0.911,0.6597,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1358108118-0315|1358108287-0348|1358108796-0195
2001-01-08,T0428,3,N1357631115,N1357631793,10.65,45.61,0.833,0.6597,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357631115-1285|1357631284-1068|1357631793-1231
2001-01-08,T4346,3,N1357682416,N1357683094,11.12,31.16,0.817,0.6585,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357682416-0188|1357682585-0163|1357683094-0119
2001-01-11,T0161,3,N1357884997,N1357885747,10.62,57.82,0.829,0.6585,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357884997-0019|1357885387-0014|1357885747-0028
2001-01-08,T0349,3,N1357631115,N1357631793,10.90,14.22,0.821,0.6579,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357631115-0313|1357631284-0369|1357631793-0126
2001-01-08,T3674,3,N1357673416,N1357674094,10.60,54.64,0.917,0.6553,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357673416-0838|1357673585-0552|1357674094-0824
2001-01-08,T0105,3,N1357628415,N1357629093,11.00,61.11,0.906,0.6550,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357628415-3202|1357628584-1393|1357629093-3913
2001-01-04,T0137,3,N1357327001,N1357327751,12.10,61.34,0.879,0.6549,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357327001-0111|1357327391-0077|1357327751-0058
2001-01-05,T0029,3,N1357344889,N1357345639,10.40,51.83,0.817,0.6542,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357344889-0199|1357345279-0166|1357345639-0126
2001-01-10,T0282,3,N1357806108,N1357806858,10.55,76.72,0.912,0.6538,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357806108-0146|1357806498-0126|1357806858-0100
